Model Name & ID,Input ($/1M tokens),Output ($/1M tokens),Context (tokens)
Anthropic: Claude Opus 4anthropic/claude-opus-4-20250514,$15,$75,"200,000"
Anthropic: Claude Sonnet 4anthropic/claude-sonnet-4-20250514,$3,$15,"200,000"
Google: Gemma 3n 4B (free)google/gemma-3n-e4b-it:free,$0,$0,"8,192"
Google: Gemini 2.5 Flash Preview 05-20google/gemini-2.5-flash-preview-05-20,$0.15,$0.60,"1,048,576"
Google: Gemini 2.5 Flash Preview 05-20 (thinking)google/gemini-2.5-flash-preview-05-20:thinking,$0.15,$3.50,"1,048,576"
OpenAI: Codex Miniopenai/codex-mini,$1.50,$6,"200,000"
Google: Gemini 2.5 Pro Previewgoogle/gemini-2.5-pro-preview,$1.25,$10,"1,048,576"
Google: Gemini 2.5 Flash Preview 04-17google/gemini-2.5-flash-preview,$0.15,$0.60,"1,048,576"
Google: Gemini 2.5 Flash Preview 04-17 (thinking)google/gemini-2.5-flash-preview:thinking,$0.15,$3.50,"1,048,576"
OpenAI: o4 Mini Highopenai/o4-mini-high,$1.10,$4.40,"200,000"
OpenAI: o3openai/o3,$10,$40,"200,000"
OpenAI: o4 Miniopenai/o4-mini,$1.10,$4.40,"200,000"
OpenAI: GPT-4.1openai/gpt-4.1,$2,$8,"1,047,576"
OpenAI: GPT-4.1 Miniopenai/gpt-4.1-mini,$0.40,$1.60,"1,047,576"
OpenAI: GPT-4.1 Nanoopenai/gpt-4.1-nano,$0.10,$0.40,"1,047,576"
Google: Gemini 2.5 Pro Experimentalgoogle/gemini-2.5-pro-exp-03-25,$0,$0,"1,048,576"
OpenAI: o1-proopenai/o1-pro,$150,$600,"200,000"
Google: Gemma 3 4B (free)google/gemma-3-4b-it:free,$0,$0,"32,768"
Google: Gemma 3 12B (free)google/gemma-3-12b-it:free,$0,$0,"32,768"
OpenAI: GPT-4o-mini Search Previewopenai/gpt-4o-mini-search-preview,$0.15,$0.60,"128,000"
OpenAI: GPT-4o Search Previewopenai/gpt-4o-search-preview,$2.50,$10,"128,000"
Google: Gemma 3 27B (free)google/gemma-3-27b-it:free,$0,$0,"131,072"
OpenAI: GPT-4.5 (Preview)openai/gpt-4.5-preview,$75,$150,"128,000"
Google: Gemini 2.0 Flash Litegoogle/gemini-2.0-flash-lite-001,$0.08,$0.30,"1,048,576"
Anthropic: Claude 3.7 Sonnetanthropic/claude-3-7-sonnet-20250219,$3,$15,"200,000"
Anthropic: Claude 3.7 Sonnet (self-moderated)anthropic/claude-3.7-sonnet:beta,$3,$15,"200,000"
Anthropic: Claude 3.7 Sonnet (thinking)anthropic/claude-3.7-sonnet:thinking,$3,$15,"200,000"
OpenAI: o3 Mini Highopenai/o3-mini-high,$1.10,$4.40,"200,000"
Google: Gemini 2.0 Flashgoogle/gemini-2.0-flash-001,$0.10,$0.40,"1,048,576"
OpenAI: o3 Miniopenai/o3-mini,$1.10,$4.40,"200,000"
OpenAI: o1openai/o1,$15,$60,"200,000"
Google: Gemini 2.0 Flash Experimental (free)google/gemini-2.0-flash-exp:free,$0,$0,"1,048,576"
OpenAI: GPT-4o (2024-11-20)openai/gpt-4o-2024-11-20,$2.50,$10,"128,000"
Anthropic: Claude 3.5 Haiku (self-moderated)anthropic/claude-3.5-haiku:beta,$0.80,$4,"200,000"
Anthropic: Claude 3.5 Haikuanthropic/claude-3.5-haiku,$0.80,$4,"200,000"
Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated)anthropic/claude-3-5-haiku-20241022:beta,$0.80,$4,"200,000"
Anthropic: Claude 3.5 Haiku (2024-10-22)anthropic/claude-3-5-haiku-20241022,$0.80,$4,"200,000"
Anthropic: Claude 3.5 Sonnet (self-moderated)anthropic/claude-3-5-sonnet-20241022:beta,$3,$15,"200,000"
Anthropic: Claude 3.5 Sonnetanthropic/claude-3.5-sonnet,$3,$15,"200,000"
Google: Gemini 1.5 Flash 8Bgoogle/gemini-flash-1.5-8b,$0.04,$0.15,"1,000,000"
OpenAI: o1-previewopenai/o1-preview,$15,$60,"128,000"
OpenAI: o1-preview (2024-09-12)openai/o1-preview-2024-09-12,$15,$60,"128,000"
OpenAI: o1-miniopenai/o1-mini,$1.10,$4.40,"128,000"
OpenAI: o1-mini (2024-09-12)openai/o1-mini-2024-09-12,$1.10,$4.40,"128,000"
OpenAI: ChatGPT-4oopenai/chatgpt-4o-latest,$5,$15,"128,000"
OpenAI: GPT-4o (2024-08-06)openai/gpt-4o-2024-08-06,$2.50,$10,"128,000"
OpenAI: GPT-4o-miniopenai/gpt-4o-mini,$0.15,$0.60,"128,000"
OpenAI: GPT-4o-mini (2024-07-18)openai/gpt-4o-mini-2024-07-18,$0.15,$0.60,"128,000"
Anthropic: Claude 3.5 Sonnet (2024-06-20) (self-moderated)anthropic/claude-3-5-sonnet-20240620:beta,$3,$15,"200,000"
Anthropic: Claude 3.5 Sonnet (2024-06-20)anthropic/claude-3-5-sonnet-20240620,$3,$15,"200,000"
Google: Gemini 1.5 Flashgoogle/gemini-flash-1.5,$0.08,$0.30,"1,000,000"
OpenAI: GPT-4oopenai/gpt-4o,$2.50,$10,"128,000"
OpenAI: GPT-4o (extended)openai/gpt-4o:extended,$6,$18,"128,000"
OpenAI: GPT-4o (2024-05-13)openai/gpt-4o-2024-05-13,$5,$15,"128,000"
Google: Gemini 1.5 Progoogle/gemini-pro-1.5,$1.25,$5,"2,000,000"
OpenAI: GPT-4 Turboopenai/gpt-4-turbo,$10,$30,"128,000"
Anthropic: Claude 3 Haiku (self-moderated)anthropic/claude-3-haiku-20240307:beta,$0.25,$1.25,"200,000"
Anthropic: Claude 3 Haikuanthropic/claude-3-haiku,$0.25,$1.25,"200,000"
Anthropic: Claude 3 Opus (self-moderated)anthropic/claude-3-opus-20240229:beta,$15,$75,"200,000"
Anthropic: Claude 3 Opusanthropic/claude-3-opus-20240229,$15,$75,"200,000"
Anthropic: Claude 3 Sonnet (self-moderated)anthropic/claude-3-sonnet:beta,$3,$15,"200,000"
Anthropic: Claude 3 Sonnetanthropic/claude-3-sonnet,$3,$15,"200,000"
OpenAI: GPT-4 Turbo Previewopenai/gpt-4-turbo-preview,$10,$30,"128,000"
Anthropic: Claude v2.1 (self-moderated)anthropic/claude-2.1:beta,$8,$24,"200,000"
Anthropic: Claude v2.1anthropic/claude-2.1,$8,$24,"200,000"
Anthropic: Claude v2 (self-moderated)anthropic/claude-2:beta,$8,$24,"200,000"
Anthropic: Claude v2anthropic/claude-2,$8,$24,"200,000"
OpenAI: GPT-3.5 Turbo 16k (older v1106)openai/gpt-3.5-turbo-1106,$1,$2,"16,385"
OpenAI: GPT-4 Turbo (older v1106)openai/gpt-4-1106-preview,$10,$30,"128,000"
OpenAI: GPT-3.5 Turbo Instructopenai/gpt-3.5-turbo-instruct,$1.50,$2,"4,095"
OpenAI: GPT-3.5 Turbo 16kopenai/gpt-3.5-turbo-16k,$3,$4,"16,385"
OpenAI: GPT-4 32kopenai/gpt-4-32k,$60,$120,"32,767"
OpenAI: GPT-4 32k (older v0314)openai/gpt-4-32k-0314,$60,$120,"32,767"
Anthropic: Claude v2.0 (self-moderated)anthropic/claude-2.0:beta,$8,$24,"100,000"
Anthropic: Claude v2.0anthropic/claude-2.0,$8,$24,"100,000"
OpenAI: GPT-3.5 Turboopenai/gpt-3.5-turbo,$0.50,$1.50,"16,385"
OpenAI: GPT-3.5 Turbo 16kopenai/gpt-3.5-turbo-0125,$0.50,$1.50,"16,385"
OpenAI: GPT-4openai/gpt-4,$30,$60,"8,191"
OpenAI: GPT-4 (older v0314)openai/gpt-4-0314,$30,$60,"8,191"
